frame,mar,ear,eyebrow_height,nose_to_chin,yaw,mouth_width_ratio,expression
0,0.0012273112660428707,0.1693065775087572,0.07147814787103023,0.13103524564433505,1.0079237560340615,0.3990272458597268,neutral
1,0.0016257684971919687,0.17019694478877478,0.06997178809864271,0.13678097904721667,-2.9485692166275883,0.39330397507424836,neutral
2,0.0012660862918475763,0.18096027694435154,0.07108342978937143,0.13879933312883758,-1.890587817240098,0.39469333555468955,neutral
3,0.000999220976516142,0.18161195908317493,0.07151129327201937,0.1387782279306377,-3.0530481917326435,0.3977648588172386,neutral
4,0.0010025738266515654,0.17909583341706592,0.0710541927592653,0.13834398944508827,-3.1226283908213706,0.3953814666109243,neutral
5,0.0014454461868611793,0.18247217843955932,0.0705967561913842,0.13837515635509245,-2.898697735036385,0.3948694164867984,neutral
6,0.0013333642576776451,0.18121362873099311,0.07118984836347296,0.14004290059208807,-1.5074412729196853,0.3946976989080117,neutral
7,0.0015517230004508003,0.17337509053579347,0.07204036509310904,0.14000863099291003,-1.954972546983562,0.4002532207194041,neutral
8,0.0018510884022837886,0.1725807880914231,0.07240537242326645,0.14027560464992755,-1.6952209632618294,0.3960280532491618,neutral
9,0.0020703809914253656,0.17348964048401386,0.07257274971294411,0.1398464022554901,-2.353082779884853,0.3965828008561978,neutral
10,0.001874383872409951,0.1776053525581224,0.07221150654939495,0.14203828984540284,-0.6820807395319355,0.39205717180932637,neutral
11,0.000614883725578517,0.17338541095741236,0.07274142457934228,0.14445091655030193,-0.855020526320261,0.3951723154240817,neutral
12,0.000907336409279592,0.17620624142989694,0.07290711766098683,0.14398257759847732,-0.982156702244083,0.3999924591517507,neutral
13,0.0011775535744272063,0.17725615403019596,0.07288330391057697,0.14424765598031516,-1.1416017657709998,0.39735214219174747,neutral
14,0.0007856065835745361,0.1752846398408683,0.07311486052673404,0.1431137627471314,0.33359835797771853,0.3944896767959437,neutral
15,0.0012727896099720792,0.18213024808616043,0.0715818444369304,0.14353462096907077,2.5711203577254236,0.396231232039332,neutral
16,0.001713254209750261,0.1862817658167751,0.07252068549390953,0.14314161891375649,1.7603589026984547,0.39732928026380215,neutral
17,0.0010832089583908081,0.18545537757239758,0.07304162772513483,0.14297834729435335,1.2170300623698644,0.39430016170420945,neutral
18,0.0019147031176087088,0.1865868347855033,0.07291316670909459,0.142740376576097,1.42886783372135,0.3920863157738404,neutral
19,0.0015239816758141204,0.18227180454382036,0.07308237244446682,0.14344279289809908,2.392913730880452,0.3933799147567874,neutral
20,0.0015801161756776266,0.18405694892111032,0.07376409650808126,0.14368167226802792,1.3179561267062716,0.39056628747663674,neutral
21,0.0013083036893930832,0.18585241051226592,0.07410778458789188,0.14273836604768436,1.2556842132196415,0.39115627614575355,neutral
22,0.0021583676978080423,0.17918709465785604,0.07405806993416028,0.14320768147596027,0.6655830083292132,0.3903617695745738,neutral
23,0.002204567255175411,0.18092653218458793,0.07420335851756246,0.14309293643107543,0.12636839853388035,0.38611197183338486,neutral
24,0.0016018580927686832,0.18374353025688342,0.07490412886807654,0.1428812815508988,-0.9074221895808767,0.3855515325551069,neutral
25,0.0017908802028614806,0.1888290670496473,0.07511289516170747,0.14225463084700346,0.03203543607545451,0.390079001263271,neutral
26,0.002245710891472217,0.18602949178671033,0.07502089684332212,0.14347736611250325,0.3686493001604762,0.3892286522079531,neutral
27,0.0017834845311983033,0.1869010242063842,0.07479626246128018,0.14324020541850316,0.7388938505793112,0.38992303897081426,neutral
28,0.0018015082289674481,0.18684241142656532,0.07557794873308339,0.14271880294566436,-0.9757379891612719,0.38734852544004733,neutral
29,0.0025296162514829293,0.185519178937278,0.07571255309951251,0.14284588753660007,-0.8034280731435421,0.3914104147064968,neutral
30,0.001750358285245597,0.18708083326960226,0.07588096671387559,0.14425595267860555,0.6312332324537119,0.3903432635169438,neutral
31,0.0017000269555997754,0.185967631430027,0.07641284429071325,0.14326345921555922,0.5001009220468315,0.39061082476537773,neutral
32,0.0012862658019671149,0.1840128387392466,0.07596584010068051,0.143652550541189,1.394153676999329,0.38815414090024003,neutral
33,0.0009435973938128295,0.179497947449858,0.0765151101941305,0.14510918396768085,1.9632205529314937,0.3894102942926454,neutral
34,0.001533380360371139,0.18341770723171982,0.07717233477657261,0.14467155530715234,0.7637706438698199,0.38623569364224736,neutral
35,0.001384141235475108,0.18262489788913625,0.07706152852805329,0.14495759764909305,1.2034162414405851,0.3882300259303005,neutral
36,0.0016104752796991418,0.1839614392034694,0.07746257511422164,0.14411638397828713,1.1825879581536831,0.38773639265949783,neutral
37,0.0007472232948423606,0.17476263593983565,0.07700710375897415,0.14541538432770987,2.3031350664745784,0.387256595183057,neutral
38,0.00034558120938852537,0.17265608767004603,0.07726577156444188,0.145479818648017,2.8009888883558327,0.38505887069607275,neutral
39,0.0010915877397847567,0.1744902021801499,0.07691374778747966,0.14442911688181465,2.5866281055576343,0.38498889082895493,neutral
40,0.00017278824062922287,0.17509662506612317,0.07690378887313355,0.14550406498803592,3.27946417676297,0.3836621894781438,neutral
41,0.0005010305946537797,0.17407491246494292,0.07677512465723174,0.14477376673177417,2.4752815303224414,0.3844790568840916,neutral
42,0.0009864726017586641,0.17246511098762257,0.07712183384020051,0.14389318659412548,3.363111096185753,0.3874712303323766,neutral
43,0.0011860992841668866,0.17944847053394955,0.07658987257370953,0.14392473304960618,3.404578200158071,0.3928754307764741,neutral
44,0.0012604732868492972,0.17556615752221583,0.07656207047483299,0.14429830535749916,3.7934415300864477,0.3901727530252588,neutral
45,0.0014225388511071586,0.17685221126940956,0.07640464473217441,0.14308250780389634,3.094138498874504,0.39361708838588455,neutral
46,0.0017764375749745485,0.17276342339761094,0.07649871727461274,0.1434139316032625,3.105254279873307,0.39148571246688424,neutral
47,0.0013690619032648381,0.17810348652978164,0.07654170309212732,0.14314700480870304,2.5202151637064953,0.39063518021641586,neutral
48,0.0008763314213174846,0.1784201898623157,0.07702738978335168,0.14333396007621194,1.547303102732169,0.3890204635370828,neutral
49,0.0008832317826185562,0.17790785307623774,0.07697031041212817,0.14309266486167116,1.4716013272317543,0.3875163750024759,neutral
50,0.0007820752479551465,0.1770071245087539,0.07686604433866577,0.14290962135978733,2.5224267898671315,0.3861009890405559,neutral
51,0.0008804956014243754,0.17788344826789024,0.07690961925825066,0.14294363536261773,1.7643748044363734,0.3885221687294336,neutral
