frame,landmark_id,landmark_name,x,y,z,visibility
0,0,NOSE,0.630355715751648,0.30213260650634766,-1.4746253490447998,0.9999068975448608
0,1,LEFT_EYE_INNER,0.706626296043396,0.2668582797050476,-1.3087093830108643,0.9998891353607178
0,2,LEFT_EYE,0.7343074679374695,0.27207881212234497,-1.310010313987732,0.9998718500137329
0,3,LEFT_EYE_OUTER,0.7541950345039368,0.27640438079833984,-1.3102326393127441,0.9998890161514282
0,4,RIGHT_EYE_INNER,0.6086742281913757,0.24651676416397095,-1.3698837757110596,0.9998959302902222
0,5,RIGHT_EYE,0.5739924311637878,0.23682665824890137,-1.3710051774978638,0.9998821020126343
0,6,RIGHT_EYE_OUTER,0.54258131980896,0.2275436520576477,-1.3717620372772217,0.9998774528503418
0,7,LEFT_EAR,0.744862973690033,0.2849481701850891,-0.4792327880859375,0.9999357461929321
0,8,RIGHT_EAR,0.47612908482551575,0.22561441361904144,-0.7760447263717651,0.9997203946113586
0,9,MOUTH_LEFT,0.645257294178009,0.3547270596027374,-1.1608216762542725,0.9996187686920166
0,10,MOUTH_RIGHT,0.5412368178367615,0.3329364061355591,-1.2562907934188843,0.9996821880340576
0,11,LEFT_SHOULDER,0.683539628982544,0.48826658725738525,-0.056797806173563004,0.9994587302207947
0,12,RIGHT_SHOULDER,0.09873166680335999,0.38770580291748047,-0.5586645603179932,0.9972631931304932
0,13,LEFT_ELBOW,0.8101498484611511,0.7436063289642334,-0.6369282007217407,0.8186938166618347
0,14,RIGHT_ELBOW,-0.1870998740196228,0.6486209630966187,-1.0418950319290161,0.3579574525356293
0,15,LEFT_WRIST,0.9167306423187256,0.6350538730621338,-1.9620722532272339,0.8163934946060181
0,16,RIGHT_WRIST,-0.054427921772003174,0.8479839563369751,-1.8344945907592773,0.07020460069179535
0,17,LEFT_PINKY,1.0022873878479004,0.6712157726287842,-2.227656841278076,0.8435938954353333
0,18,RIGHT_PINKY,-0.038842231035232544,0.916462779045105,-2.075309991836548,0.08282414078712463
0,19,LEFT_INDEX,0.9379878044128418,0.6606163382530212,-2.2615926265716553,0.8568258881568909
0,20,RIGHT_INDEX,0.04442198574542999,0.8893659114837646,-2.1140501499176025,0.10243723541498184
0,21,LEFT_THUMB,0.8764157891273499,0.6469396352767944,-2.0097150802612305,0.8262268900871277
0,22,RIGHT_THUMB,0.0471920520067215,0.8659420609474182,-1.8728852272033691,0.11345560848712921
0,23,LEFT_HIP,0.4124218821525574,0.8631497621536255,0.24794645607471466,0.9918680787086487
0,24,RIGHT_HIP,0.08653086423873901,0.8567858338356018,-0.24888724088668823,0.9848341941833496
0,25,LEFT_KNEE,0.9115322828292847,0.7694745659828186,-0.14037922024726868,0.5730467438697815
0,26,RIGHT_KNEE,0.30889269709587097,0.9773818850517273,-1.3444105386734009,0.7274137139320374
0,27,LEFT_ANKLE,0.791818380355835,1.0873593091964722,0.48409536480903625,0.3290325403213501
0,28,RIGHT_ANKLE,0.5700124502182007,1.1043277978897095,-0.12494642287492752,0.2727603614330292
0,29,LEFT_HEEL,0.7119382619857788,1.11482572555542,0.5373378992080688,0.3220546543598175
0,30,RIGHT_HEEL,0.5839000940322876,1.1041256189346313,0.014179450459778309,0.28087833523750305
0,31,LEFT_FOOT_INDEX,0.8316561579704285,1.2193130254745483,0.14303161203861237,0.22095775604248047
0,32,RIGHT_FOOT_INDEX,0.7587956786155701,1.2235409021377563,-0.2818547487258911,0.15535514056682587
1,0,NOSE,0.620107889175415,0.30278655886650085,-1.5362145900726318,0.9999094009399414
1,1,LEFT_EYE_INNER,0.6989624500274658,0.26856696605682373,-1.371411681175232,0.999891996383667
1,2,LEFT_EYE,0.7275458574295044,0.27458152174949646,-1.3728934526443481,0.9998747110366821
1,3,LEFT_EYE_OUTER,0.7502012252807617,0.27979257702827454,-1.3732178211212158,0.9998918771743774
1,4,RIGHT_EYE_INNER,0.601923406124115,0.24682576954364777,-1.4355016946792603,0.9998993873596191
1,5,RIGHT_EYE,0.5682964324951172,0.23706039786338806,-1.436690330505371,0.9998858571052551
1,6,RIGHT_EYE_OUTER,0.5386034250259399,0.22789500653743744,-1.4375183582305908,0.9998818039894104
1,7,LEFT_EAR,0.745123028755188,0.29355093836784363,-0.5587440133094788,0.9999374151229858
1,8,RIGHT_EAR,0.4731798470020294,0.22724761068820953,-0.8686618208885193,0.9997280240058899
1,9,MOUTH_LEFT,0.6383323669433594,0.3572148084640503,-1.228996992111206,0.9996222257614136
1,10,MOUTH_RIGHT,0.5356560945510864,0.3329397141933441,-1.3284589052200317,0.9996906518936157
1,11,LEFT_SHOULDER,0.6797322034835815,0.4884413182735443,-0.05735760182142258,0.9994279146194458
1,12,RIGHT_SHOULDER,0.09874270856380463,0.3877570927143097,-0.7460459470748901,0.9972863793373108
1,13,LEFT_ELBOW,0.8198119401931763,0.6937263607978821,-0.44142356514930725,0.7990739941596985
1,14,RIGHT_ELBOW,-0.13817369937896729,0.6560150980949402,-1.206277847290039,0.3615335524082184
1,15,LEFT_WRIST,0.9166931509971619,0.6280046701431274,-1.5213106870651245,0.7904950976371765
1,16,RIGHT_WRIST,-0.035085514187812805,0.8655132055282593,-1.8559176921844482,0.07194899022579193
1,17,LEFT_PINKY,1.0030639171600342,0.6742305755615234,-1.740313172340393,0.822571873664856
1,18,RIGHT_PINKY,-0.028153622522950172,0.9322513341903687,-2.0896193981170654,0.08398065716028214
1,19,LEFT_INDEX,0.9381389617919922,0.6696447134017944,-1.8071644306182861,0.8379681706428528
1,20,RIGHT_INDEX,0.04744982346892357,0.914462685585022,-2.1464529037475586,0.10474392026662827
1,21,LEFT_THUMB,0.875960648059845,0.6506398916244507,-1.5772570371627808,0.8087062835693359
1,22,RIGHT_THUMB,0.051856618374586105,0.8926506638526917,-1.8988571166992188,0.11654851585626602
1,23,LEFT_HIP,0.40404555201530457,0.8369256258010864,0.3225846290588379,0.9900641441345215
1,24,RIGHT_HIP,0.08436394482851028,0.8639995455741882,-0.3241448998451233,0.9814596176147461
1,25,LEFT_KNEE,0.9217643141746521,0.7216038107872009,-0.13353115320205688,0.5499394536018372
1,26,RIGHT_KNEE,0.6205113530158997,0.9650853872299194,-1.265367865562439,0.6898395419120789
1,27,LEFT_ANKLE,0.8877472281455994,1.0538420677185059,0.3753279447555542,0.3142300844192505
1,28,RIGHT_ANKLE,0.7866054773330688,1.09304940700531,-0.030705668032169342,0.2556723654270172
1,29,LEFT_HEEL,0.8135982751846313,1.0911606550216675,0.4110485315322876,0.3094461262226105
1,30,RIGHT_HEEL,0.757847249507904,1.0984671115875244,0.10905922204256058,0.2629227042198181
