frame,body_velocity,state,state_label
1,0.05304010597217635,2,Active
2,0.07859663872520102,2,Active
3,0.036022250106738436,2,Active
4,0.027597919873946292,2,Active
5,0.051411711487346266,2,Active
6,0.054227532934344194,2,Active
7,0.0953307143259438,2,Active
8,0.057224064488724566,2,Active
9,0.032280365083080714,2,Active
10,0.0644627916142274,2,Active
11,0.027291808916891955,2,Active
12,0.028532222713092397,2,Active
13,0.022004068978040487,2,Active
14,0.06250383976374112,2,Active
15,0.0146931358751354,2,Active
16,0.053626306018067726,2,Active
17,0.03696851934779033,2,Active
18,0.037777849348702985,2,Active
19,0.03854282963491841,2,Active
20,0.056875347236689806,2,Active
21,0.03929655585079943,2,Active
22,0.06325161014906534,2,Active
23,0.05847091637110864,2,Active
24,0.0500889960305115,2,Active
25,0.04650657632199795,2,Active
26,0.07407094767403985,2,Active
27,0.06093234305167317,2,Active
28,0.10285963062107627,2,Active
29,0.0571281500029928,2,Active
30,0.053225712954522594,2,Active
31,0.058461880639355354,2,Active
32,0.04522691161110398,2,Active
33,0.03445666568346596,2,Active
34,0.04797119197259883,2,Active
35,0.03165449847591225,2,Active
36,0.03687590702911347,2,Active
37,0.054920065911300095,2,Active
38,0.044179448448662596,2,Active
39,0.05396510211856137,2,Active
40,0.06095637400756708,2,Active
41,0.051618578659264544,2,Active
42,0.019193729624931998,2,Active
43,0.03924904680756394,2,Active
44,0.04408997595221191,2,Active
45,0.04249021268835669,2,Active
46,0.05823538531281736,2,Active
47,0.049902628357197325,2,Active
48,0.043779448519005046,2,Active
49,0.09310980300402075,2,Active
50,0.09246702214208218,2,Active
51,0.04025746863001722,2,Active
52,0.02785401535431537,2,Active
53,0.01712226806449465,2,Active
54,0.028556269047673475,2,Active
55,0.05395577855583324,2,Active
56,0.03013203906495103,2,Active
57,0.02521192770410696,2,Active
58,0.020659936916602825,2,Active
59,0.01830221310668447,2,Active
60,0.01151809175414708,2,Active
61,0.04238874567639809,2,Active
62,0.013895205162111783,2,Active
63,0.030026779020015205,2,Active
64,0.014938057319214505,2,Active
65,0.02396232725314531,2,Active
66,0.030311280381367878,2,Active
67,0.024698143956655365,2,Active
68,0.017255659586779146,2,Active
69,0.015952640938223513,2,Active
70,0.0120478176564804,2,Active
71,0.015093362764883305,2,Active
72,0.01571969898842289,1,Moderate
73,0.01349782122492105,1,Moderate
74,0.014116858737853214,1,Moderate
75,0.015729646749267735,1,Moderate
76,0.018773741031714735,1,Moderate
77,0.017234741719614463,1,Moderate
78,0.015551656989269446,1,Moderate
79,0.014628936175362716,1,Moderate
80,0.010612037107479773,1,Moderate
81,0.008634820149823532,1,Moderate
82,0.005724852144582017,1,Moderate
83,0.027199378607373433,1,Moderate
84,0.028943208009233685,1,Moderate
85,0.003654482829338406,1,Moderate
86,0.026316607078630122,1,Moderate
87,0.024820390124167133,1,Moderate
88,0.006902030623990408,1,Moderate
89,0.005301316932882114,0,Still
90,0.004707305052470062,0,Still
91,0.0043190213247358555,1,Moderate
92,0.006210735893995325,0,Still
93,0.011265670344054658,0,Still
94,0.021738817372396923,0,Still
95,0.021774624946168806,0,Still
96,0.01980276397496138,0,Still
97,0.015017518022251626,1,Moderate
98,0.00583209305980882,1,Moderate
99,0.008735589370314543,1,Moderate
100,0.009883118418358275,0,Still
101,0.010455471789406486,0,Still
102,0.008638539115552022,0,Still
103,0.00872344844167139,0,Still
104,0.006915350470960742,0,Still
105,0.006947208161565626,0,Still
106,0.005720877655126865,0,Still
107,0.006359169208962415,0,Still
108,0.007464597475460527,0,Still
109,0.008753634430212836,0,Still
110,0.01060383657486406,0,Still
111,0.010996198045011195,0,Still
112,0.008665446310644339,0,Still
113,0.010010569264417662,0,Still
114,0.010181431014615671,0,Still
115,0.015638969917093813,1,Moderate
116,0.01733617278531248,1,Moderate
117,0.01699518235920813,1,Moderate
118,0.016859391968456424,1,Moderate
119,0.01537659899971028,1,Moderate
120,0.018726109685994197,1,Moderate
121,0.019068950823963916,1,Moderate
122,0.018840810400577723,1,Moderate
123,0.013458535620860659,1,Moderate
124,0.010727391371954921,1,Moderate
125,0.010395169362840666,1,Moderate
